,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
63705,142,Nicaragua,NCA,1071.83,1079.18,3,CONCACAF,2022-10-06
63706,141,Burundi,BDI,1076.26,1076.26,0,CAF,2022-10-06
63707,140,St. Kitts and Nevis,SKN,1076.91,1076.91,0,CONCACAF,2022-10-06
63708,135,Turkmenistan,TKM,1100.47,1100.47,0,AFC,2022-10-06
63709,138,Ethiopia,ETH,1091.19,1088.27,0,CAF,2022-10-06
63710,137,Rwanda,RWA,1093.66,1095.04,1,CAF,2022-10-06
63711,136,Solomon Islands,SOL,1095.7,1092.56,-1,OFC,2022-10-06
63712,143,Eswatini,SWZ,1070.89,1070.89,-1,CAF,2022-10-06
63713,139,Suriname,SUR,1077.3,1072.24,-4,CONCACAF,2022-10-06
63714,144,Lithuania,LTU,1069.75,1074.08,2,UEFA,2022-10-06
63715,156,Afghanistan,AFG,1023.04,1023.04,2,AFC,2022-10-06
63716,146,Malaysia,MAS,1062.32,1057.59,-2,AFC,2022-10-06
63717,147,Lesotho,LES,1061.4,1061.4,2,CAF,2022-10-06
63718,148,Botswana,BOT,1056.46,1060.17,2,CAF,2022-10-06
63719,149,Kuwait,KUW,1053.41,1053.41,0,AFC,2022-10-06
63720,150,Liberia,LBR,1049.66,1051.25,0,CAF,2022-10-06
63721,151,Andorra,AND,1035.2,1028.7,-1,UEFA,2022-10-06
63722,152,Indonesia,IDN,1033.9,1019.19,-3,AFC,2022-10-06
63723,153,Dominican Republic,DOM,1031.86,1031.86,2,CONCACAF,2022-10-06
63724,154,Maldives,MDV,1026.09,1018.25,-2,AFC,2022-10-06
63725,155,Yemen,YEM,1023.52,1023.52,2,AFC,2022-10-06
63726,108,Tajikistan,TJK,1185.7,1179.1,-1,AFC,2022-10-06
63727,145,Hong Kong,HKG,1062.39,1058.37,-2,AFC,2022-10-06
63728,134,Latvia,LVA,1114.21,1125.36,5,UEFA,2022-10-06
63729,122,Faroe Islands,FRO,1147.17,1136.29,-3,UEFA,2022-10-06
63730,132,Central African Republic,CTA,1116.97,1116.06,-1,CAF,2022-10-06
63731,157,Chinese Taipei,TPE,1017.78,1017.78,0,AFC,2022-10-06
63732,109,Estonia,EST,1184.64,1177.4,-1,UEFA,2022-10-06
63733,110,Cyprus,CYP,1183.82,1180.52,2,UEFA,2022-10-06
63734,111,Thailand,THA,1174.92,1170.69,0,AFC,2022-10-06
63735,112,Korea DPR,PRK,1169.96,1169.96,0,AFC,2022-10-06
63736,113,Kazakhstan,KAZ,1166.63,1166.28,-1,UEFA,2022-10-06
63737,114,Mozambique,MOZ,1165.22,1165.41,-2,CAF,2022-10-06
63738,115,Namibia,NAM,1164.13,1164.13,-2,CAF,2022-10-06
63739,116,Guinea-Bissau,GNB,1160.71,1165.53,1,CAF,2022-10-06
63740,117,Sierra Leone,SLE,1160.31,1169.71,4,CAF,2022-10-06
63741,118,Guatemala,GUA,1156.7,1161.96,0,CONCACAF,2022-10-06
63742,119,Angola,ANG,1155.9,1149.08,-1,CAF,2022-10-06
63743,120,Libya,LBY,1154.25,1148.36,-1,CAF,2022-10-06
63744,121,Niger,NIG,1152.8,1155.23,2,CAF,2022-10-06
63745,123,Azerbaijan,AZE,1146.72,1127.17,-5,UEFA,2022-10-06
63746,124,Malawi,MWI,1144.97,1144.77,2,CAF,2022-10-06
63747,125,Zimbabwe,ZIM,1138.56,1138.56,2,CAF,2022-10-06
63748,126,Gambia,GAM,1137.47,1137.47,2,CAF,2022-10-06
63749,127,Togo,TOG,1128.92,1130.22,1,CAF,2022-10-06
63750,128,Sudan,SDN,1127.34,1124.91,-2,CAF,2022-10-06
63751,129,Comoros,COM,1123.18,1127.44,2,CAF,2022-10-06
63752,130,Tanzania,TAN,1119.89,1121.91,-1,CAF,2022-10-06
63753,131,Antigua and Barbuda,ATG,1117.01,1117.01,-1,CONCACAF,2022-10-06
63754,133,Philippines,PHI,1115.13,1115.13,-1,AFC,2022-10-06
63755,158,Myanmar,MYA,1007.89,1011.91,0,AFC,2022-10-06
63756,183,Mongolia,MNG,913.55,913.55,-1,AFC,2022-10-06
63757,160,Singapore,SGP,1003.5,1004.75,1,AFC,2022-10-06
63758,189,Cook Islands,COK,899.33,899.33,0,OFC,2022-10-06
63759,190,Brunei Darussalam,BRU,898.41,897.1,0,AFC,2022-10-06
63760,191,Samoa,SAM,894.26,894.26,0,OFC,2022-10-06
63761,192,Bangladesh,BAN,884.45,883.18,0,AFC,2022-10-06
63762,193,Djibouti,DJI,875.05,877.84,0,CAF,2022-10-06
63763,194,Pakistan,PAK,866.81,866.81,-1,AFC,2022-10-06
63764,195,Cayman Islands,CAY,865.72,865.72,-1,CONCACAF,2022-10-06
63765,196,Liechtenstein,LIE,862.39,873.99,2,UEFA,2022-10-06
63766,197,Tonga,TGA,861.81,861.81,0,OFC,2022-10-06
63767,198,Timor-Leste,TLS,860.06,860.06,-1,AFC,2022-10-06
63768,188,American Samoa,ASA,900.27,900.27,0,OFC,2022-10-06
63769,199,Seychelles,SEY,859.56,860.48,1,CAF,2022-10-06
63770,201,Aruba,ARU,855.37,855.37,-1,CONCACAF,2022-10-06
63771,202,Bahamas,BAH,854.8,854.8,-1,CONCACAF,2022-10-06
63772,203,Somalia,SOM,854.72,854.72,-1,CAF,2022-10-06
63773,204,Gibraltar,GIB,852.16,856.55,4,UEFA,2022-10-06
63774,205,Guam,GUM,838.33,838.33,0,AFC,2022-10-06
63775,206,Turks and Caicos Islands,TCA,832.0,832.0,0,CONCACAF,2022-10-06
63776,207,Sri Lanka,SRI,825.25,825.25,0,AFC,2022-10-06
63777,208,US Virgin Islands,VIR,823.97,823.97,0,CONCACAF,2022-10-06
63778,209,British Virgin Islands,VGB,809.32,809.32,0,CONCACAF,2022-10-06
63779,107,Kosovo,KOS,1187.01,1183.9,1,UEFA,2022-10-06
63780,200,Eritrea,ERI,855.56,855.56,-1,CAF,2022-10-06
63781,187,Laos,LAO,905.51,914.66,4,AFC,2022-10-06
63782,186,São Tomé and Príncipe,STP,908.18,908.18,-1,CAF,2022-10-06
63783,185,Bhutan,BHU,910.96,910.96,-1,AFC,2022-10-06
63784,161,New Caledonia,NCL,995.58,999.7,1,OFC,2022-10-06
63785,162,Tahiti,TAH,995.11,995.11,0,OFC,2022-10-06
63786,163,Fiji,FIJ,989.43,993.37,0,OFC,2022-10-06
63787,164,Vanuatu,VAN,985.62,990.55,0,OFC,2022-10-06
63788,165,South Sudan,SSD,983.99,983.99,0,CAF,2022-10-06
63789,166,Barbados,BRB,982.27,982.27,0,CONCACAF,2022-10-06
63790,167,Cuba,CUB,978.65,978.65,0,CONCACAF,2022-10-06
63791,168,Malta,MLT,977.92,974.68,-1,UEFA,2022-10-06
63792,169,Bermuda,BER,977.47,977.47,1,CONCACAF,2022-10-06
63793,170,Puerto Rico,PUR,974.32,974.32,0,CONCACAF,2022-10-06
63794,171,Guyana,GUY,968.74,968.74,-1,CONCACAF,2022-10-06
63795,172,St. Lucia,LCA,965.66,965.66,-1,CONCACAF,2022-10-06
63796,173,Grenada,GRN,963.72,969.0,2,CONCACAF,2022-10-06
63797,174,Moldova,MDA,961.23,944.96,-3,UEFA,2022-10-06
63798,175,Nepal,NEP,954.86,950.45,-1,AFC,2022-10-06
63799,176,Belize,BLZ,950.88,950.88,1,CONCACAF,2022-10-06
63800,177,Cambodia,CAM,948.62,954.3,3,AFC,2022-10-06
63801,178,St. Vincent and the Grenadines,VIN,945.25,939.97,-1,CONCACAF,2022-10-06
63802,179,Montserrat,MSR,940.78,940.78,1,CONCACAF,2022-10-06
63803,180,Mauritius,MRI,932.02,932.02,0,CAF,2022-10-06
63804,181,Chad,CHA,930.22,931.98,0,CAF,2022-10-06
63805,182,Macau,MAC,922.1,922.1,0,AFC,2022-10-06
63806,184,Dominica,DMA,911.51,911.51,-1,CONCACAF,2022-10-06
63807,159,Papua New Guinea,PNG,1007.46,997.6,-2,OFC,2022-10-06
63808,106,India,IND,1192.09,1198.65,2,AFC,2022-10-06
63809,1,Brazil,BRA,1841.3,1837.56,0,CONMEBOL,2022-10-06
63810,104,Trinidad and Tobago,TRI,1195.29,1205.85,3,CONCACAF,2022-10-06
63811,28,Korea Republic,KOR,1530.3,1526.02,0,AFC,2022-10-06
63812,29,Chile,CHI,1509.61,1514.86,0,CONMEBOL,2022-10-06
63813,30,Tunisia,TUN,1507.54,1507.86,0,CAF,2022-10-06
63814,31,Costa Rica,CRC,1503.59,1500.06,-3,CONCACAF,2022-10-06
63815,32,Nigeria,NGA,1498.47,1504.7,1,CAF,2022-10-06
63816,33,Russia,RUS,1496.11,1493.42,-2,UEFA,2022-10-06
63817,34,Austria,AUT,1492.95,1502.47,1,UEFA,2022-10-06
63818,35,Czech Republic,CZE,1492.21,1502.9,3,UEFA,2022-10-06
63819,36,Hungary,HUN,1492.2,1486.76,-1,UEFA,2022-10-06
63820,37,Algeria,ALG,1489.1,1480.59,-4,CAF,2022-10-06
63821,27,Ukraine,UKR,1536.99,1542.79,0,UEFA,2022-10-06
63822,38,Australia,AUS,1488.72,1483.73,-1,AFC,2022-10-06
63823,40,Scotland,SCO,1479.53,1462.96,-5,UEFA,2022-10-06
63824,41,Canada,CAN,1475.0,1473.82,-2,CONCACAF,2022-10-06
63825,42,Norway,NOR,1473.04,1488.57,6,UEFA,2022-10-06
63826,43,Cameroon,CMR,1471.44,1484.95,5,CAF,2022-10-06
63827,44,Ecuador,ECU,1464.39,1463.74,0,CONMEBOL,2022-10-06
63828,45,Türkiye,TUR,1460.14,1475.13,3,UEFA,2022-10-06
63829,46,Mali,MLI,1448.85,1442.88,0,CAF,2022-10-06
63830,47,Paraguay,PAR,1448.77,1440.13,-3,CONMEBOL,2022-10-06
63831,48,Côte d'Ivoire,CIV,1443.06,1435.91,-4,CAF,2022-10-06
63832,49,Republic of Ireland,IRL,1440.19,1442.48,2,UEFA,2022-10-06
63833,39,Egypt,EGY,1486.44,1482.63,-1,CAF,2022-10-06
63834,26,Poland,POL,1548.59,1546.18,0,UEFA,2022-10-06
63835,25,Sweden,SWE,1553.33,1563.44,5,UEFA,2022-10-06
63836,24,Japan,JPN,1559.54,1554.69,0,AFC,2022-10-06
63837,210,Anguilla,AIA,790.74,790.74,0,CONCACAF,2022-10-06
63838,2,Belgium,BEL,1816.71,1821.92,0,UEFA,2022-10-06
63839,3,Argentina,ARG,1773.88,1770.65,0,CONMEBOL,2022-10-06
63840,4,France,FRA,1759.78,1764.85,0,UEFA,2022-10-06
63841,5,England,ENG,1728.47,1737.46,0,UEFA,2022-10-06
63842,6,Italy,ITA,1726.14,1713.86,-1,UEFA,2022-10-06
63843,7,Spain,ESP,1715.22,1716.93,1,UEFA,2022-10-06
63844,8,Netherlands,NED,1694.51,1679.41,0,UEFA,2022-10-06
63845,9,Portugal,POR,1676.56,1678.65,0,UEFA,2022-10-06
63846,10,Denmark,DEN,1666.57,1665.47,0,UEFA,2022-10-06
63847,11,Germany,GER,1650.21,1658.96,0,UEFA,2022-10-06
63848,12,Croatia,CRO,1645.64,1632.15,-3,UEFA,2022-10-06
63849,13,Mexico,MEX,1644.89,1649.57,1,CONCACAF,2022-10-06
63850,14,Uruguay,URU,1638.71,1640.95,1,CONMEBOL,2022-10-06
63851,15,Switzerland,SUI,1635.92,1621.43,-1,UEFA,2022-10-06
63852,16,USA,USA,1627.48,1635.01,2,CONCACAF,2022-10-06
63853,17,Colombia,COL,1611.04,1604.07,0,CONMEBOL,2022-10-06
63854,18,Senegal,SEN,1584.38,1584.59,0,CAF,2022-10-06
63855,19,Wales,WAL,1569.82,1582.13,0,UEFA,2022-10-06
63856,20,IR Iran,IRN,1564.61,1558.64,-2,AFC,2022-10-06
63857,21,Serbia,SRB,1563.62,1549.53,-4,UEFA,2022-10-06
63858,22,Morocco,MAR,1563.5,1558.35,-1,CAF,2022-10-06
63859,23,Peru,PER,1561.01,1562.24,2,CONMEBOL,2022-10-06
63860,50,Qatar,QAT,1439.89,1441.97,2,AFC,2022-10-06
63861,51,Saudi Arabia,KSA,1437.78,1435.74,-2,AFC,2022-10-06
63862,52,Greece,GRE,1437.6,1441.45,3,UEFA,2022-10-06
63863,53,Romania,ROU,1434.68,1427.84,-1,UEFA,2022-10-06
63864,81,Gabon,GAB,1301.84,1301.84,2,CAF,2022-10-06
63865,82,Bolivia,BOL,1296.28,1298.81,1,CONMEBOL,2022-10-06
63866,83,Guinea,GUI,1290.47,1294.89,0,CAF,2022-10-06
63867,84,Jordan,JOR,1289.99,1279.74,-2,AFC,2022-10-06
63868,85,Bahrain,BHR,1280.64,1289.25,0,AFC,2022-10-06
63869,86,Curaçao,CUW,1278.64,1293.35,2,CONCACAF,2022-10-06
63870,87,Haiti,HAI,1269.07,1269.07,-1,CONCACAF,2022-10-06
63871,88,Zambia,ZAM,1267.41,1270.8,1,CAF,2022-10-06
63872,89,Uganda,UGA,1260.69,1264.56,-1,CAF,2022-10-06
63873,90,Syria,SYR,1255.92,1265.03,1,AFC,2022-10-06
63874,91,Benin,BEN,1247.47,1258.71,0,CAF,2022-10-06
63875,92,Luxembourg,LUX,1243.8,1235.36,-1,UEFA,2022-10-06
63876,93,Armenia,ARM,1233.93,1242.42,1,UEFA,2022-10-06
63877,94,Palestine,PLE,1233.72,1233.72,0,AFC,2022-10-06
63878,95,Kyrgyz Republic,KGZ,1230.22,1232.91,0,AFC,2022-10-06
63879,96,Vietnam,VIE,1226.65,1218.84,-1,AFC,2022-10-06
63880,97,Belarus,BLR,1221.06,1226.55,1,UEFA,2022-10-06
63881,98,Equatorial Guinea,EQG,1215.66,1215.33,0,CAF,2022-10-06
63882,99,Lebanon,LBN,1211.71,1211.71,-1,AFC,2022-10-06
63883,100,Congo,CGO,1208.79,1215.09,1,CAF,2022-10-06
63884,101,Kenya,KEN,1202.26,1202.26,-1,CAF,2022-10-06
63885,102,Madagascar,MAD,1200.74,1193.78,-3,CAF,2022-10-06
63886,103,Mauritania,MTN,1197.58,1181.86,-4,CAF,2022-10-06
63887,80,Honduras,HON,1301.98,1299.69,0,CONCACAF,2022-10-06
63888,105,New Zealand,NZL,1193.98,1198.96,2,OFC,2022-10-06
63889,79,China PR,CHN,1305.06,1305.06,1,AFC,2022-10-06
63890,77,Uzbekistan,UZB,1309.98,1306.63,0,AFC,2022-10-06
63891,54,Burkina Faso,BFA,1432.25,1425.64,-1,CAF,2022-10-06
63892,55,Slovakia,SVK,1425.59,1439.99,4,UEFA,2022-10-06
63893,56,Finland,FIN,1405.6,1398.41,-3,UEFA,2022-10-06
63894,57,Venezuela,VEN,1404.37,1405.17,1,CONMEBOL,2022-10-06
63895,58,Bosnia and Herzegovina,BIH,1403.51,1403.98,1,UEFA,2022-10-06
63896,59,Northern Ireland,NIR,1396.55,1399.1,1,UEFA,2022-10-06
63897,60,Panama,PAN,1393.28,1389.27,-1,CONCACAF,2022-10-06
63898,61,Ghana,GHA,1393.0,1393.47,1,CAF,2022-10-06
63899,62,Iceland,ISL,1384.41,1379.61,-1,UEFA,2022-10-06
63900,63,Slovenia,SVN,1384.04,1372.48,-2,UEFA,2022-10-06
63901,64,Jamaica,JAM,1378.86,1382.06,2,CONCACAF,2022-10-06
63902,65,North Macedonia,MKD,1358.51,1375.2,1,UEFA,2022-10-06
63903,66,Albania,ALB,1354.11,1361.81,0,UEFA,2022-10-06
63904,67,South Africa,RSA,1349.59,1350.55,-1,CAF,2022-10-06
63905,68,Iraq,IRQ,1343.01,1338.91,-2,AFC,2022-10-06
63906,69,Montenegro,MNE,1341.03,1354.59,2,UEFA,2022-10-06
63907,70,United Arab Emirates,UAE,1337.57,1346.09,1,AFC,2022-10-06
63908,71,Cabo Verde,CPV,1336.05,1331.46,-2,CAF,2022-10-06
63909,72,Bulgaria,BUL,1335.36,1325.16,-2,UEFA,2022-10-06
63910,73,Congo DR,COD,1333.92,1332.84,1,CAF,2022-10-06
63911,74,El Salvador,SLV,1330.51,1333.48,3,CONCACAF,2022-10-06
63912,75,Oman,OMA,1320.29,1323.03,0,AFC,2022-10-06
63913,76,Israel,ISR,1316.55,1316.35,0,UEFA,2022-10-06
63914,78,Georgia,GEO,1307.34,1296.46,-4,UEFA,2022-10-06
63915,211,San Marino,SMR,762.22,763.82,0,UEFA,2022-10-06
